title,authors
AChecker: Statically Detecting Smart Contract Access Control Vulnerabilities,"Asem Ghaleb,Julia Rubin,Karthik Pattabiraman"
A Comprehensive Study of Real-World Bugs in Machine Learning Model Optimization,"Hao Guan,Ying Xiao,Jiaying Li,Yepang Liu,Guangdong Bai"
AdHere: Automated Detection and Repair of Intrusive Ads,"Yutian Yan,Yunhui Zheng,Xinyue Liu,Nenad Medvidović,Weihang Wang"
AI-based Question Answering Assistance for Analyzing Natural-language Requirements,"Saad Ezzini,Sallam Abualhaija,Chetan Arora,Mehrdad Sabetzadeh"
AidUI: Toward Automated Recognition of Dark Patterns in User Interfaces,"S M Hasan Mansur,Sabiha Salma,Damilola Awofisayo,Kevin Moran"
Analyzing the Impact of Workloads on Modeling the Performance of Configurable Software Systems,"Stefan Mühlbauer,Florian Sattler,Christian Kaltenecker,Johannes Dorn,Sven Apel,Norbert Siegmund"
An Empirical Comparison of Pre-Trained Models of Source Code,"Changan Niu,Chuanyi Li,Vincent Ng,Dongxiao Chen,Jidong Ge,Bin Luo"
An Empirical Study of Deep Learning Models for Vulnerability Detection,"Benjamin Steenhoek,Md Mahbubur Rahman,Richard Jiles,Wei Le"
An Empirical Study of Pre-Trained Model Reuse in the Hugging Face Deep Learning Model Registry,"Wenxin Jiang,Nicholas Synovic,Matt Hyatt,Taylor R. Schorlemmer,Rohan Sethi,Yung-Hsiang Lu,George K. Thiruvathukal,James C. Davis"
An Empirical Study on Software Bill of Materials: Where We Stand and the Road Ahead,"Boming Xia,Tingting Bi,Zhenchang Xing,Qinghua Lu,Liming Zhu"
APICAD: Augmenting API Misuse Detection Through Specifications From Code And Documents,"Xiaoke Wang,Lei Zhao"
A Qualitative Study on the Implementation Design Decisions of Developers,"Jenny T. Liang,Maryam Arab,Minhyuk Ko,Amy Ko,Thomas LaToza"
Aries: Efficient Testing of Deep Neural Networks via Labeling-Free Accuracy Estimation,"Qiang Hu,Yuejun GUo,Xiaofei Xie,Maxime Cordy,Lei Ma,Mike Papadakis,Yves Le Traon"
A Semantic-aware Parsing Approach for Log Analytics,"Yintong Huo,Yuxin Su,Cheryl Lee,Michael Lyu"
ATM: Black-box Test Case Minimization based on Test Code Similarity and Evolutionary Search,"Rongqi Pan,Taher A. Ghaleb,Lionel Briand"
Automated Black-box Testing of Mass Assignment Vulnerabilities in RESTful APIs,"Davide Corradini,Michele Pasqua,Mariano Ceccato"
Automated Program Repair in the Era of Large Pre-trained Language Models,"Chunqiu Steven Xia,Yuxiang Wei,Lingming Zhang"
Automated Repair of Programs from Large Language Models,"Zhiyu Fan,Xiang Gao,Martin Mirchev,Abhik Roychoudhury,Shin Hwei Tan"
Automated Summarization of Stack Overflow Posts,"Bonan Kou,Muhao Chen,Tianyi Zhang"
Automating Code-Related Tasks Through Transformers: The Impact of Pre-training,"Rosalia Tufano,Luca Pascarella,Gabriele Bavota"
Autonomy Is An Acquired Taste: Exploring Developer Preferences for GitHub Bots,"Amir Ghorbani,Nathan Cassee,Derek Robinson,Adam Alami,Neil Ernst,Alexander Serebrenik,Andrzej Wąsowski"
BADGE: Prioritizing UI Events with Hierarchical Multi-Armed Bandits for Automated UI Testing,"Dezhi Ran,Hao Wang,Wenyu Wang,Tao Xie"
Bad Snakes: Understanding and Improving Python Package Index Malware Scanning,"Duc Ly Vu,Zachary Newman,John Speed Meyers"
Balancing Effectiveness and Flakiness of Non-Deterministic Machine Learning Tests,"Chunqiu Steven Xia,Saikat Dutta,Sasa Misailovic,Darko Marinov,Lingming Zhang"
Better Automatic Program Repair by Using Bug Reports and Tests Together,"Manish Motwani,Yuriy Brun"
BFTDetector: Automatic Detection of Business Flow Tampering for Digital Content Service,"I Luk Kim,Weihang Wang,Yonghwi Kwon,Xiangyu Zhang"
BSHUNTER: Detecting and Tracing Defects of Bitcoin Scripts,"Peilin Zheng,Xiapu Luo,Zibin Zheng"
Carving UI Tests to Generate API Tests and API Specification,"Rahulkrishna Yandrapally,Saurabh Sinha,Rachel Tzoref-Brill,Ali Mesbah"
CC: Causality-Aware Coverage Criterion for Deep Neural Networks,"Zhenlan Ji,Pingchuan Ma,Yuanyuan Yuan,Shuai Wang"
CCRep: Learning Code Change Representations via Pre-Trained Code Model and Query Back,"Zhongxin Liu,Zhijie Tang,Xin Xia,Xiaohu Yang"
CCTEST: Testing and Repairing Code Completion Systems,"Li Zongjie,Chaozheng Wang,Zhibo Liu,Haoxuan Wang,Dong Chen,Shuai Wang,Cuiyun Gao"
Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Yunbo Lyu,Le-Cong Thanh,Hong Jin Kang,Ratnadira Widyasari,Zhipeng Zhao,Xuan-Bach D. Le,Ming Li,David Lo"
CoCoSoDa: Effective Contrastive Learning for Code Search,"Ensheng Shi,Wenchao Gu,Yanlin Wang,Lun Du,Hongyu Zhang,Shi Han,Dongmei Zhang,Hongbin Sun"
CodaMOSA: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Caroline Lemieux,Jeevana Priya Inala,Shuvendu K. Lahiri,Siddhartha Sen"
"Code Review of Build System Specifications: Prevalence, Purposes, Patterns, and Perceptions","Mahtab Nejati,Mahmoud Alfadel,Shane McIntosh"
CoLeFunDa: Explainable Silent Vulnerability Fix Identification,"Jiayuan Zhou,Michael Pacheco,Jinfu Chen,Xing Hu,Xin Xia,David Lo,Ahmed E. Hassan"
COLUMBUS: Android App Testing Through Systematic Callback Exploration,"Priyanka Bose,Dipanjan Das,Saastha Vasan,Sebastiano Mariani,Ilya Grishchenko,Andrea Continella,Antonio Bianchi,Christopher Kruegel,Giovanni Vigna"
Commit Message Matters: Investigating Impact and Evolution of Commit Message Quality,"Jiawei Li,Iftekhar Ahmed"
Comparison and Evaluation of Clone Detection Techniques with Different Code Representations,"Yuekun Wang,Yuhang Ye,Yueming Wu,Weiwei Zhang,Yinxing Xue,Yang Liu"
Compatibility Issue Detection for Android Apps Based on Path-Sensitive Semantic Analysis,"Sen Yang,Sen Chen,Lingling Fan,Sihan Xu,Zhanwei Hui,Song Huang"
Compatible Remediation on Vulnerabilities from Third-Party Libraries for Java Projects,"Lyuye Zhang,Chengwei Liu,Zhengzi Xu,Sen Chen,Lingling Fan,Lida Zhao,Wu Jiahui,Yang Liu"
Compiler Test-Program Generation via Memoized Configuration Search,"Junjie Chen,Chenyao Suo,Jiajun Jiang,Peiqi Chen,Xingjian Li"
Compiling Parallel Symbolic Execution with Continuations,"Guannan Wei,Songlin Jia,Ruiqi Gao,Haotian Deng,Shangyin Tan,Oliver Bračevac,Tiark Rompf"
Concrat: An Automatic C-to-Rust Lock API Translator for Concurrent Programs,"Jaemin Hong,Sukyoung Ryu"
Context-aware Bug Reproduction for Mobile Apps,"Yuchao Huang,Junjie Wang,Zhe Liu,Song Wang,Chunyang Chen,Mingyang Li,Qing Wang"
ContraBERT: Enhancing Code Pre-trained Models via Contrastive Learning,"Shangqing Liu,bozhi wu,Xiaofei Xie,Guozhu Meng,Yang Liu"
Coverage Guided Fault Injection for Cloud Systems,"Yu Gao,Wensheng Dou,Dong Wang,Wenhan Feng,Jun Wei,Hua Zhong,Tao Huang"
CrossCodeBench: Benchmarking Cross-Task Generalization of Source Code Models,"Changan Niu,Chuanyi Li,Vincent Ng,Bin Luo"
Cross-Domain Requirements Linking via Adversarial-based Domain Adaptation,"Zhiyuan Chang,Mingyang Li,Qing Wang,Shoubin Li,Junjie Wang"
Data-driven Recurrent Set Learning For Non-termination Analysis,"Zhilei Han,Fei He"
Data Quality for Software Vulnerability Datasets,"Roland Croft,Muhammad Ali Babar,M. Mehdi Kholoosi"
Data Quality Matters: A Case Study of ObsoleteComment Detection,"Shengbin Xu,Yuan Yao,Feng Xu,Tianxiao Gu,Jingwei Xu,Xiaoxing Ma"
Decomposing a Recurrent Neural Network into Modules for Enabling Reusability and Replacement,"Sayem Mohammad Imtiaz,Fraol Batole,Astha Singh,Rangeet Pan,Breno Dantas Cruz,Hridesh Rajan"
DeepArc: Modularizing Neural Networks for the Model Maintenance,"xiaoning ren,Yun Lin,Yinxing Xue,Ruofan Liu,Jun Sun,Zhiyong Feng,Jin Song Dong"
